name,version,size,homePage,author,license,licenseCompat,errorCode,namever
Pygments,2.18.0,4512318,UNKNOWN,UNKNOWN,BSD LICENSE,True,0,Pygments-2.18.0
annotated-types,0.7.0,36659,UNKNOWN,UNKNOWN,MIT LICENSE,True,0,annotated-types-0.7.0
async-timeout,4.0.3,12339,https://github.com/aio-libs/async-timeout,Andrew Svetlov <andrew.svetlov@gmail.com>,APACHE SOFTWARE LICENSE,True,0,async-timeout-4.0.3
bleak,0.22.2,490360,https://github.com/hbldh/bleak,Henrik Blidh,MIT LICENSE,True,0,bleak-0.22.2
bleak-winrt,1.2.0,1780075,https://github.com/dlech/bleak-winrt,Microsoft Corporation,MIT LICENSE,True,0,bleak-winrt-1.2.0
certifi,2024.8.30,307699,https://github.com/certifi/python-certifi,Kenneth Reitz,MOZILLA PUBLIC LICENSE 2.0 (MPL 2.0),True,0,certifi-2024.8.30
charset-normalizer,3.4.0,417496,https://github.com/Ousret/charset_normalizer,Ahmed TAHRI,MIT LICENSE,True,0,charset-normalizer-3.4.0
construct,2.10.68,289385,http://construct.readthedocs.org,"Arkadiusz Bulski, Tomer Filiba, Corbin Simpson",MIT LICENSE,True,0,construct-2.10.68
idna,3.10,349330,UNKNOWN,UNKNOWN,BSD LICENSE,True,0,idna-3.10
ifaddr,0.2.0,25361,https://github.com/pydron/ifaddr,Stefan C. Mueller,MIT LICENSE,True,0,ifaddr-0.2.0
markdown-it-py,3.0.0,331731,UNKNOWN,UNKNOWN,MIT LICENSE,True,0,markdown-it-py-3.0.0
mdurl,0.1.2,22713,UNKNOWN,UNKNOWN,MIT LICENSE,True,0,mdurl-0.1.2
packaging,24.2,233440,UNKNOWN,UNKNOWN,APACHE SOFTWARE LICENSE;; BSD LICENSE,True,0,packaging-24.2
pexpect,4.9.0,189719,https://pexpect.readthedocs.io/,Noah Spurrier; Thomas Kluyver; Jeff Quast,ISC LICENSE (ISCL),True,0,pexpect-4.9.0
protobuf,3.20.3,2445979,https://developers.google.com/protocol-buffers/,UNKNOWN,BSD-3-CLAUSE,True,0,protobuf-3.20.3
ptyprocess,0.7.0,39489,https://github.com/pexpect/ptyprocess,Thomas Kluyver,ISC LICENSE (ISCL),True,0,ptyprocess-0.7.0
pydantic,2.10.1,1824638,UNKNOWN,UNKNOWN,MIT LICENSE,True,0,pydantic-2.10.1
pydantic_core,2.27.1,5435185,https://github.com/pydantic/pydantic-core,UNKNOWN,MIT LICENSE,True,0,pydantic_core-2.27.1
pytz,2024.2,955334,http://pythonhosted.org/pytz,Stuart Bishop,MIT LICENSE,True,0,pytz-2024.2
requests,2.32.3,203512,https://requests.readthedocs.io,Kenneth Reitz,APACHE SOFTWARE LICENSE,True,0,requests-2.32.3
rich,13.9.4,949941,https://github.com/Textualize/rich,Will McGugan,MIT LICENSE,True,0,rich-13.9.4
typing_extensions,4.12.2,151692,UNKNOWN,UNKNOWN,PYTHON SOFTWARE FOUNDATION LICENSE,True,0,typing_extensions-4.12.2
tzdata,2024.2,526249,https://github.com/python/tzdata,Python Software Foundation,APACHE SOFTWARE LICENSE,True,0,tzdata-2024.2
tzlocal,5.2,60974,UNKNOWN,UNKNOWN,MIT LICENSE,True,0,tzlocal-5.2
urllib3,2.2.3,405285,UNKNOWN,UNKNOWN,MIT LICENSE,True,0,urllib3-2.2.3
wrapt,1.17.0,122065,https://github.com/GrahamDumpleton/wrapt,Graham Dumpleton,BSD LICENSE,True,0,wrapt-1.17.0
zeroconf,0.136.2,3786204,https://github.com/python-zeroconf/python-zeroconf,Paul Scott-Murphy,LGPL-2.1-OR-LATER,True,0,zeroconf-0.136.2

